,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,foreign_worker,class
1,0<=X<200,18.0,existing paid,radio/tv,1301.0,<100,>=7,4.0,guarantor,real estate,32.0,none,own,1.0,unskilled resident,1.0,yes,good
2,>=200,6.0,critical/other existing credit,new car,1323.0,100<=X<500,>=7,2.0,none,car,28.0,none,own,2.0,skilled,2.0,yes,good
3,<0,24.0,existing paid,new car,3123.0,<100,<1,4.0,none,life insurance,27.0,none,own,1.0,skilled,1.0,yes,bad
4,<0,36.0,existing paid,used car,5493.0,<100,>=7,2.0,none,no known property,42.0,none,for free,1.0,skilled,2.0,yes,good
5,>=200,9.0,existing paid,radio/tv,1126.0,100<=X<500,>=7,2.0,none,real estate,49.0,none,own,1.0,skilled,1.0,yes,good
6,0<=X<200,24.0,critical/other existing credit,radio/tv,1216.0,100<=X<500,<1,4.0,none,no known property,38.0,bank,own,2.0,skilled,2.0,yes,bad
7,<0,24.0,existing paid,new car,1207.0,<100,<1,4.0,none,life insurance,24.0,none,rent,1.0,skilled,1.0,yes,bad
8,no checking,10.0,existing paid,new car,1309.0,no known savings,1<=X<4,4.0,guarantor,life insurance,27.0,none,own,1.0,unskilled resident,1.0,yes,bad
9,>=200,15.0,critical/other existing credit,used car,2360.0,500<=X<1000,1<=X<4,2.0,none,car,36.0,none,own,1.0,skilled,1.0,yes,good
10,0<=X<200,15.0,all paid,new car,6850.0,100<=X<500,unemployed,1.0,none,life insurance,34.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,bad
11,no checking,24.0,existing paid,radio/tv,1413.0,<100,1<=X<4,4.0,none,life insurance,28.0,none,own,1.0,skilled,1.0,yes,good
12,no checking,39.0,existing paid,used car,8588.0,100<=X<500,>=7,4.0,none,car,45.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
13,<0,12.0,existing paid,new car,759.0,<100,4<=X<7,4.0,none,real estate,26.0,none,own,1.0,skilled,1.0,yes,bad
14,no checking,36.0,existing paid,used car,4686.0,<100,1<=X<4,2.0,none,no known property,32.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
15,>=200,15.0,existing paid,business,2687.0,<100,4<=X<7,2.0,none,life insurance,26.0,none,rent,1.0,skilled,1.0,yes,good
16,0<=X<200,12.0,delayed previously,radio/tv,585.0,<100,1<=X<4,4.0,co applicant,real estate,20.0,none,rent,2.0,skilled,1.0,yes,good
17,no checking,24.0,existing paid,new car,2255.0,no known savings,<1,4.0,none,life insurance,54.0,none,own,1.0,skilled,1.0,yes,good
